product_id,name,category,brand,price
P00107,SlateBlue Mini World,home,"Jones, Noble and Lewis",161.61
P00108,PowderBlue Lite Maybe,electronics,"Richardson, James and Dalton",246.35
P00109,Gold Lite Point,books,Allen Inc,319.08
P00110,Blue Pro Why,outdoor,"Porter, Mendez and Rodriguez",140.4
P00111,Olive Lite Can,home,"Lutz, Jackson and May",247.34
P00112,DarkOrchid Pro Happen,home,Wiley-Jones,309.17
P00113,LavenderBlush Mini Beautiful,grocery,Robinson-Williams,217.37
P00114,Plum Mini Recently,grocery,Price Group,7.31
P00115,LightCoral Plus Teach,beauty,Rogers-Murillo,366.68
P00116,ForestGreen Pro Sometimes,books,"Crawford, Collins and Jones",379.64
P00117,DarkSlateGray Plus Property,beauty,Campbell-Le,13.87
P00118,Coral Pro World,beauty,"Owens, Daniels and Bush",117.0
P00119,LightSalmon Max Near,sports,"Melendez, Howard and Myers",68.82
P00120,LightSkyBlue Mini Move,sports,"Hendrix, Harper and Zavala",87.67
P00121,Black Pro Hope,sports,Garza Ltd,474.49
P00122,MediumSpringGreen Mini Lead,books,Bailey-Alvarado,219.66
P00123,PaleGoldenRod Lite Detail,books,Cox-Wagner,498.09
P00124,DarkViolet Mini Together,books,West Ltd,376.31
P00125,DarkCyan Lite Lose,grocery,Price and Sons,14.47
P00126,MistyRose Lite Interview,home,Johnson-Reyes,109.54
P00127,Aqua Pro Maybe,home,Alvarado Inc,65.97
P00128,LightYellow Pro Town,grocery,"Mccall, Rodriguez and Walker",438.89
P00129,OldLace Max Mr,apparel,"Sosa, Fisher and White",298.99
P00130,BlueViolet Pro Store,electronics,"Hunt, Strickland and Garcia",328.52
P00131,AntiqueWhite Pro About,apparel,"Hooper, Jenkins and Weaver",346.43
P00132,Chocolate Mini Remember,outdoor,Mcneil-Brock,193.23
P00133,DarkGreen Plus Mention,sports,Herrera Inc,239.83
P00134,SeaShell Lite Involve,beauty,Lee Ltd,349.12
P00135,DarkOliveGreen Pro Campaign,sports,Berg-Keller,213.33
P00136,DarkSlateGray Pro Drop,sports,Arnold and Sons,313.28
P00137,ForestGreen Lite Only,grocery,Campbell PLC,416.17
P00138,LightSeaGreen Pro Market,electronics,Cline-Fox,144.94
P00139,MintCream Pro Police,outdoor,"Larson, Johnson and Nelson",103.33
P00140,Blue Lite She,sports,"Adams, Jacobs and Wilson",416.59
P00141,Navy Lite Voice,books,Bush and Sons,353.2
P00142,MediumTurquoise Max Region,home,Mckenzie LLC,24.51
P00143,GoldenRod Mini From,beauty,Pennington-Martin,345.66
P00144,Wheat Mini Person,books,Mclean Inc,121.08
P00145,PowderBlue Pro Figure,electronics,Bowman Ltd,453.91
P00146,MistyRose Plus Might,outdoor,"Hooper, George and Marshall",78.83
P00147,LawnGreen Pro Air,electronics,House Inc,363.16
P00148,Cornsilk Pro Agent,sports,Garcia-Roberts,323.95
P00149,MediumPurple Mini Eight,sports,Jones-Cook,135.74
P00150,DarkSalmon Pro Stop,electronics,"Hodges, Davis and Rios",407.52
P00151,LightSlateGray Pro Manager,sports,"Ortiz, Gibson and Oconnor",183.31
P00152,DarkSalmon Max Oil,grocery,Thompson Ltd,370.58
P00153,Teal Pro Represent,apparel,"House, Walker and Cruz",9.79
P00154,MediumTurquoise Lite Modern,home,"Day, Donaldson and Nunez",167.69
P00155,Khaki Mini Majority,sports,"Richards, Wilson and Thomas",439.85
P00156,Indigo Pro Than,books,"Oliver, Stein and Wallace",408.41
P00157,LawnGreen Lite Term,electronics,"Powell, Johnston and Flores",203.38
P00158,MediumPurple Mini Old,sports,Rosario-Melendez,418.68
P00159,Navy Mini Person,grocery,"Torres, Tate and Gardner",326.18
P00160,LightSeaGreen Lite Culture,electronics,"Jacobson, Smith and Barnes",70.59
P00161,Plum Pro Our,home,"Williams, Evans and English",56.34
P00162,Turquoise Plus Political,outdoor,"Patterson, Bennett and Luna",402.12
P00163,Orange Mini Glass,home,Stevens-Hall,307.6
P00164,LightPink Max Hot,apparel,English-Miller,431.98
P00165,MediumAquaMarine Lite Charge,outdoor,Perry-House,460.6
P00166,PeachPuff Pro Record,grocery,"Jones, Matthews and Arnold",223.14
P00167,DarkSlateGray Pro Help,sports,Reid PLC,329.21
P00168,LightSeaGreen Pro Day,beauty,Sharp-Gilbert,489.06
P00169,DodgerBlue Max Push,electronics,"Sweeney, Phillips and Turner",219.26
P00170,SpringGreen Lite Trade,outdoor,Morris Inc,176.15
P00171,White Mini Father,home,"Lopez, Manning and Santana",420.32
P00172,ForestGreen Plus Difference,apparel,Hunt-Wang,10.76
P00173,LightSalmon Lite Base,outdoor,Fletcher-Parker,426.68
P00174,MediumPurple Lite Guess,electronics,Dunlap Group,376.96
P00175,DarkMagenta Max Generation,beauty,"Morgan, Ellis and Singleton",168.79
P00176,Black Max If,apparel,Flowers PLC,255.93
P00177,OldLace Plus Administration,grocery,Ramirez LLC,204.62
P00178,RoyalBlue Lite Ask,electronics,Barajas and Sons,232.25
P00179,Indigo Plus Realize,outdoor,Oliver LLC,48.57
P00180,LightSteelBlue Mini Her,outdoor,Galvan Inc,161.45
P00181,MediumBlue Mini Push,apparel,"Dorsey, Taylor and Hughes",55.81
P00182,Brown Mini Far,apparel,Buck and Sons,280.78
P00183,PowderBlue Pro Including,electronics,Conway Ltd,396.93
P00184,DarkGoldenRod Plus Level,sports,Garcia LLC,445.6
P00185,DimGray Plus Plan,beauty,Calderon Inc,329.03
P00186,LimeGreen Mini Begin,books,Marshall-Pennington,184.85
P00187,Fuchsia Pro West,beauty,Howard and Sons,422.94
P00188,Fuchsia Max We,outdoor,Reyes-Clark,359.75
P00189,AntiqueWhite Max Individual,outdoor,Andersen LLC,61.44
P00190,BlanchedAlmond Lite Dinner,apparel,Combs PLC,173.97
P00191,DimGray Max Month,books,Turner LLC,352.54
P00192,AntiqueWhite Pro Crime,home,Williams Inc,248.75
P00193,BurlyWood Mini Born,electronics,"Allen, Sanchez and Brooks",130.87
P00194,Ivory Lite Might,beauty,"Freeman, Munoz and Smith",64.77
P00195,Beige Mini Create,beauty,"Perkins, Peterson and Garcia",231.24
P00196,DarkViolet Lite Create,books,Bennett-Robbins,58.34
P00197,LightSeaGreen Mini Scene,apparel,Brown-Singh,463.68
P00198,MidnightBlue Plus Plan,electronics,Smith-Cole,387.21
P00199,DarkTurquoise Mini Dream,outdoor,Mitchell LLC,330.94
