asset_id,hostname,os,department,type
AST000081,host-00081.corp.example,ubuntu-22,finance,vm
AST000082,host-00082.corp.example,ubuntu-22,sales,laptop
AST000083,host-00083.corp.example,ubuntu-22,finance,server
AST000084,host-00084.corp.example,ubuntu-22,legal,server
AST000085,host-00085.corp.example,windows-11,sales,container_host
AST000086,host-00086.corp.example,rhel-9,legal,container_host
AST000087,host-00087.corp.example,macos-14,exec,vm
AST000088,host-00088.corp.example,ubuntu-22,hr,laptop
AST000089,host-00089.corp.example,rhel-9,hr,vm
AST000090,host-00090.corp.example,macos-14,legal,laptop
AST000091,host-00091.corp.example,macos-14,legal,laptop
AST000092,host-00092.corp.example,macos-14,hr,container_host
AST000093,host-00093.corp.example,windows-11,engineering,vm
AST000094,host-00094.corp.example,macos-14,engineering,laptop
AST000095,host-00095.corp.example,rhel-9,hr,laptop
AST000096,host-00096.corp.example,rhel-9,legal,server
AST000097,host-00097.corp.example,macos-14,legal,container_host
AST000098,host-00098.corp.example,ubuntu-22,engineering,container_host
AST000099,host-00099.corp.example,windows-11,finance,laptop
AST000100,host-00100.corp.example,ubuntu-22,engineering,server
AST000101,host-00101.corp.example,rhel-9,hr,server
AST000102,host-00102.corp.example,macos-14,finance,vm
AST000103,host-00103.corp.example,rhel-9,hr,vm
AST000104,host-00104.corp.example,windows-11,exec,vm
AST000105,host-00105.corp.example,windows-11,finance,laptop
AST000106,host-00106.corp.example,rhel-9,finance,vm
AST000107,host-00107.corp.example,ubuntu-22,finance,laptop
AST000108,host-00108.corp.example,ubuntu-22,finance,vm
AST000109,host-00109.corp.example,rhel-9,sales,laptop
AST000110,host-00110.corp.example,macos-14,legal,container_host
AST000111,host-00111.corp.example,macos-14,sales,laptop
AST000112,host-00112.corp.example,rhel-9,legal,vm
AST000113,host-00113.corp.example,windows-11,finance,vm
AST000114,host-00114.corp.example,ubuntu-22,sales,vm
AST000115,host-00115.corp.example,rhel-9,sales,server
AST000116,host-00116.corp.example,ubuntu-22,sales,laptop
AST000117,host-00117.corp.example,macos-14,engineering,laptop
AST000118,host-00118.corp.example,macos-14,legal,server
AST000119,host-00119.corp.example,rhel-9,sales,server
AST000120,host-00120.corp.example,ubuntu-22,exec,server
AST000121,host-00121.corp.example,rhel-9,engineering,container_host
AST000122,host-00122.corp.example,macos-14,exec,server
AST000123,host-00123.corp.example,rhel-9,legal,vm
AST000124,host-00124.corp.example,rhel-9,sales,server
AST000125,host-00125.corp.example,macos-14,hr,server
AST000126,host-00126.corp.example,macos-14,exec,container_host
AST000127,host-00127.corp.example,rhel-9,finance,container_host
AST000128,host-00128.corp.example,rhel-9,sales,server
AST000129,host-00129.corp.example,ubuntu-22,finance,laptop
AST000130,host-00130.corp.example,rhel-9,finance,laptop
AST000131,host-00131.corp.example,windows-11,finance,laptop
AST000132,host-00132.corp.example,ubuntu-22,finance,container_host
AST000133,host-00133.corp.example,ubuntu-22,hr,laptop
AST000134,host-00134.corp.example,ubuntu-22,hr,vm
AST000135,host-00135.corp.example,windows-11,hr,laptop
AST000136,host-00136.corp.example,rhel-9,legal,vm
AST000137,host-00137.corp.example,ubuntu-22,hr,laptop
AST000138,host-00138.corp.example,macos-14,sales,laptop
AST000139,host-00139.corp.example,macos-14,engineering,vm
AST000140,host-00140.corp.example,ubuntu-22,sales,laptop
AST000141,host-00141.corp.example,macos-14,hr,server
AST000142,host-00142.corp.example,rhel-9,hr,laptop
AST000143,host-00143.corp.example,windows-11,engineering,vm
AST000144,host-00144.corp.example,ubuntu-22,sales,container_host
AST000145,host-00145.corp.example,windows-11,finance,server
AST000146,host-00146.corp.example,macos-14,engineering,laptop
AST000147,host-00147.corp.example,ubuntu-22,hr,container_host
AST000148,host-00148.corp.example,windows-11,engineering,container_host
AST000149,host-00149.corp.example,windows-11,exec,server
AST000150,host-00150.corp.example,ubuntu-22,finance,container_host
AST000151,host-00151.corp.example,windows-11,legal,vm
AST000152,host-00152.corp.example,ubuntu-22,legal,container_host
AST000153,host-00153.corp.example,ubuntu-22,exec,laptop
AST000154,host-00154.corp.example,macos-14,engineering,laptop
AST000155,host-00155.corp.example,rhel-9,hr,laptop
AST000156,host-00156.corp.example,rhel-9,finance,vm
AST000157,host-00157.corp.example,windows-11,finance,laptop
AST000158,host-00158.corp.example,macos-14,sales,laptop
AST000159,host-00159.corp.example,macos-14,sales,laptop
AST000160,host-00160.corp.example,macos-14,legal,vm
AST000161,host-00161.corp.example,ubuntu-22,exec,container_host
AST000162,host-00162.corp.example,rhel-9,exec,server
AST000163,host-00163.corp.example,ubuntu-22,engineering,container_host
AST000164,host-00164.corp.example,windows-11,finance,server
AST000165,host-00165.corp.example,windows-11,sales,laptop
AST000166,host-00166.corp.example,macos-14,finance,container_host
AST000167,host-00167.corp.example,rhel-9,finance,laptop
AST000168,host-00168.corp.example,ubuntu-22,finance,vm
AST000169,host-00169.corp.example,windows-11,exec,vm
AST000170,host-00170.corp.example,macos-14,engineering,vm
AST000171,host-00171.corp.example,rhel-9,hr,container_host
AST000172,host-00172.corp.example,rhel-9,finance,server
AST000173,host-00173.corp.example,rhel-9,exec,container_host
AST000174,host-00174.corp.example,macos-14,legal,vm
AST000175,host-00175.corp.example,windows-11,exec,container_host
AST000176,host-00176.corp.example,windows-11,hr,server
AST000177,host-00177.corp.example,macos-14,finance,laptop
AST000178,host-00178.corp.example,windows-11,finance,vm
AST000179,host-00179.corp.example,macos-14,hr,container_host
AST000180,host-00180.corp.example,ubuntu-22,exec,container_host
AST000181,host-00181.corp.example,macos-14,hr,laptop
AST000182,host-00182.corp.example,macos-14,legal,container_host
AST000183,host-00183.corp.example,macos-14,exec,laptop
AST000184,host-00184.corp.example,windows-11,exec,container_host
AST000185,host-00185.corp.example,macos-14,legal,server
AST000186,host-00186.corp.example,windows-11,sales,container_host
AST000187,host-00187.corp.example,windows-11,sales,laptop
AST000188,host-00188.corp.example,ubuntu-22,exec,vm
AST000189,host-00189.corp.example,macos-14,hr,laptop
AST000190,host-00190.corp.example,ubuntu-22,exec,container_host
AST000191,host-00191.corp.example,macos-14,finance,container_host
AST000192,host-00192.corp.example,windows-11,legal,server
AST000193,host-00193.corp.example,macos-14,hr,vm
AST000194,host-00194.corp.example,macos-14,sales,laptop
AST000195,host-00195.corp.example,windows-11,exec,server
AST000196,host-00196.corp.example,rhel-9,legal,container_host
AST000197,host-00197.corp.example,windows-11,finance,vm
AST000198,host-00198.corp.example,rhel-9,sales,vm
AST000199,host-00199.corp.example,rhel-9,sales,laptop
AST000200,host-00200.corp.example,ubuntu-22,engineering,container_host
AST000201,host-00201.corp.example,ubuntu-22,exec,container_host
AST000202,host-00202.corp.example,windows-11,exec,vm
AST000203,host-00203.corp.example,macos-14,exec,laptop
AST000204,host-00204.corp.example,macos-14,finance,server
AST000205,host-00205.corp.example,ubuntu-22,finance,server
AST000206,host-00206.corp.example,windows-11,sales,server
AST000207,host-00207.corp.example,ubuntu-22,hr,laptop
AST000208,host-00208.corp.example,macos-14,legal,vm
AST000209,host-00209.corp.example,rhel-9,legal,server
AST000210,host-00210.corp.example,windows-11,engineering,vm
AST000211,host-00211.corp.example,rhel-9,exec,container_host
AST000212,host-00212.corp.example,rhel-9,hr,laptop
AST000213,host-00213.corp.example,ubuntu-22,finance,laptop
AST000214,host-00214.corp.example,rhel-9,hr,vm
AST000215,host-00215.corp.example,ubuntu-22,legal,server
AST000216,host-00216.corp.example,ubuntu-22,hr,laptop
AST000217,host-00217.corp.example,windows-11,legal,server
AST000218,host-00218.corp.example,macos-14,sales,server
AST000219,host-00219.corp.example,macos-14,exec,server
AST000220,host-00220.corp.example,macos-14,legal,vm
AST000221,host-00221.corp.example,windows-11,finance,server
AST000222,host-00222.corp.example,macos-14,sales,vm
AST000223,host-00223.corp.example,windows-11,legal,server
AST000224,host-00224.corp.example,ubuntu-22,sales,vm
AST000225,host-00225.corp.example,windows-11,engineering,laptop
AST000226,host-00226.corp.example,windows-11,exec,vm
AST000227,host-00227.corp.example,ubuntu-22,legal,container_host
AST000228,host-00228.corp.example,windows-11,hr,vm
AST000229,host-00229.corp.example,macos-14,hr,server
AST000230,host-00230.corp.example,rhel-9,finance,container_host
AST000231,host-00231.corp.example,windows-11,exec,laptop
AST000232,host-00232.corp.example,ubuntu-22,hr,container_host
AST000233,host-00233.corp.example,rhel-9,hr,server
AST000234,host-00234.corp.example,macos-14,legal,server
AST000235,host-00235.corp.example,macos-14,exec,vm
AST000236,host-00236.corp.example,macos-14,hr,server
AST000237,host-00237.corp.example,macos-14,legal,laptop
AST000238,host-00238.corp.example,macos-14,sales,container_host
AST000239,host-00239.corp.example,windows-11,finance,container_host
AST000240,host-00240.corp.example,ubuntu-22,sales,laptop
AST000241,host-00241.corp.example,windows-11,finance,container_host
AST000242,host-00242.corp.example,rhel-9,sales,server
AST000243,host-00243.corp.example,macos-14,legal,vm
AST000244,host-00244.corp.example,ubuntu-22,sales,container_host
AST000245,host-00245.corp.example,rhel-9,hr,vm
AST000246,host-00246.corp.example,rhel-9,engineering,laptop
AST000247,host-00247.corp.example,rhel-9,legal,container_host
AST000248,host-00248.corp.example,ubuntu-22,sales,vm
AST000249,host-00249.corp.example,windows-11,engineering,vm
AST000250,host-00250.corp.example,rhel-9,legal,container_host
AST000251,host-00251.corp.example,macos-14,legal,laptop
AST000252,host-00252.corp.example,windows-11,hr,server
AST000253,host-00253.corp.example,macos-14,exec,vm
AST000254,host-00254.corp.example,rhel-9,finance,laptop
AST000255,host-00255.corp.example,rhel-9,engineering,server
AST000256,host-00256.corp.example,macos-14,legal,vm
AST000257,host-00257.corp.example,windows-11,hr,container_host
AST000258,host-00258.corp.example,macos-14,legal,laptop
AST000259,host-00259.corp.example,ubuntu-22,engineering,container_host
AST000260,host-00260.corp.example,macos-14,finance,vm
AST000261,host-00261.corp.example,ubuntu-22,sales,container_host
AST000262,host-00262.corp.example,windows-11,engineering,laptop
AST000263,host-00263.corp.example,ubuntu-22,exec,vm
AST000264,host-00264.corp.example,rhel-9,legal,container_host
AST000265,host-00265.corp.example,ubuntu-22,legal,server
AST000266,host-00266.corp.example,macos-14,legal,vm
AST000267,host-00267.corp.example,ubuntu-22,hr,vm
AST000268,host-00268.corp.example,macos-14,legal,container_host
AST000269,host-00269.corp.example,macos-14,hr,laptop
AST000270,host-00270.corp.example,macos-14,finance,laptop
AST000271,host-00271.corp.example,rhel-9,legal,vm
AST000272,host-00272.corp.example,windows-11,legal,container_host
AST000273,host-00273.corp.example,macos-14,exec,server
AST000274,host-00274.corp.example,windows-11,legal,container_host
AST000275,host-00275.corp.example,ubuntu-22,legal,container_host
AST000276,host-00276.corp.example,ubuntu-22,exec,server
AST000277,host-00277.corp.example,windows-11,legal,laptop
AST000278,host-00278.corp.example,ubuntu-22,engineering,container_host
AST000279,host-00279.corp.example,macos-14,hr,server
AST000280,host-00280.corp.example,rhel-9,exec,server
AST000281,host-00281.corp.example,rhel-9,legal,container_host
AST000282,host-00282.corp.example,windows-11,exec,server
AST000283,host-00283.corp.example,ubuntu-22,legal,vm
AST000284,host-00284.corp.example,rhel-9,legal,container_host
AST000285,host-00285.corp.example,macos-14,sales,container_host
AST000286,host-00286.corp.example,macos-14,legal,vm
AST000287,host-00287.corp.example,macos-14,legal,container_host
AST000288,host-00288.corp.example,ubuntu-22,sales,vm
AST000289,host-00289.corp.example,macos-14,sales,vm
AST000290,host-00290.corp.example,macos-14,exec,server
AST000291,host-00291.corp.example,rhel-9,finance,container_host
AST000292,host-00292.corp.example,macos-14,legal,vm
AST000293,host-00293.corp.example,macos-14,engineering,container_host
AST000294,host-00294.corp.example,rhel-9,finance,server
AST000295,host-00295.corp.example,macos-14,engineering,vm
AST000296,host-00296.corp.example,windows-11,finance,container_host
AST000297,host-00297.corp.example,macos-14,exec,container_host
AST000298,host-00298.corp.example,ubuntu-22,sales,vm
AST000299,host-00299.corp.example,macos-14,sales,laptop
AST000300,host-00300.corp.example,ubuntu-22,sales,laptop
AST000301,host-00301.corp.example,ubuntu-22,exec,server
AST000302,host-00302.corp.example,windows-11,engineering,container_host
AST000303,host-00303.corp.example,macos-14,exec,container_host
AST000304,host-00304.corp.example,windows-11,exec,server
AST000305,host-00305.corp.example,windows-11,legal,server
AST000306,host-00306.corp.example,rhel-9,exec,container_host
AST000307,host-00307.corp.example,rhel-9,exec,server
AST000308,host-00308.corp.example,macos-14,finance,vm
AST000309,host-00309.corp.example,windows-11,engineering,server
AST000310,host-00310.corp.example,windows-11,sales,container_host
AST000311,host-00311.corp.example,ubuntu-22,engineering,container_host
AST000312,host-00312.corp.example,rhel-9,sales,vm
AST000313,host-00313.corp.example,windows-11,engineering,vm
AST000314,host-00314.corp.example,windows-11,finance,vm
AST000315,host-00315.corp.example,rhel-9,exec,container_host
AST000316,host-00316.corp.example,ubuntu-22,legal,container_host
AST000317,host-00317.corp.example,macos-14,sales,laptop
AST000318,host-00318.corp.example,macos-14,sales,container_host
AST000319,host-00319.corp.example,macos-14,exec,server
AST000320,host-00320.corp.example,windows-11,exec,vm
AST000321,host-00321.corp.example,macos-14,legal,server
AST000322,host-00322.corp.example,ubuntu-22,legal,container_host
AST000323,host-00323.corp.example,rhel-9,legal,vm
AST000324,host-00324.corp.example,windows-11,hr,laptop
AST000325,host-00325.corp.example,ubuntu-22,sales,container_host
AST000326,host-00326.corp.example,macos-14,sales,laptop
AST000327,host-00327.corp.example,macos-14,hr,server
AST000328,host-00328.corp.example,rhel-9,finance,vm
AST000329,host-00329.corp.example,macos-14,legal,laptop
AST000330,host-00330.corp.example,macos-14,exec,vm
AST000331,host-00331.corp.example,ubuntu-22,engineering,laptop
AST000332,host-00332.corp.example,rhel-9,finance,server
AST000333,host-00333.corp.example,rhel-9,exec,vm
AST000334,host-00334.corp.example,windows-11,exec,vm
AST000335,host-00335.corp.example,macos-14,legal,server
AST000336,host-00336.corp.example,ubuntu-22,sales,container_host
AST000337,host-00337.corp.example,ubuntu-22,hr,vm
AST000338,host-00338.corp.example,rhel-9,exec,container_host
AST000339,host-00339.corp.example,ubuntu-22,sales,laptop
AST000340,host-00340.corp.example,rhel-9,legal,vm
AST000341,host-00341.corp.example,windows-11,legal,laptop
AST000342,host-00342.corp.example,windows-11,legal,server
AST000343,host-00343.corp.example,ubuntu-22,sales,vm
AST000344,host-00344.corp.example,rhel-9,engineering,server
AST000345,host-00345.corp.example,rhel-9,engineering,container_host
AST000346,host-00346.corp.example,windows-11,hr,server
AST000347,host-00347.corp.example,rhel-9,hr,laptop
AST000348,host-00348.corp.example,rhel-9,exec,vm
AST000349,host-00349.corp.example,windows-11,hr,vm
AST000350,host-00350.corp.example,windows-11,exec,server
AST000351,host-00351.corp.example,windows-11,engineering,container_host
AST000352,host-00352.corp.example,macos-14,exec,laptop
AST000353,host-00353.corp.example,windows-11,engineering,container_host
AST000354,host-00354.corp.example,windows-11,finance,container_host
AST000355,host-00355.corp.example,ubuntu-22,sales,container_host
AST000356,host-00356.corp.example,macos-14,hr,container_host
AST000357,host-00357.corp.example,rhel-9,hr,laptop
AST000358,host-00358.corp.example,ubuntu-22,exec,vm
AST000359,host-00359.corp.example,windows-11,sales,container_host
AST000360,host-00360.corp.example,ubuntu-22,exec,server
AST000361,host-00361.corp.example,windows-11,engineering,vm
AST000362,host-00362.corp.example,rhel-9,exec,container_host
AST000363,host-00363.corp.example,rhel-9,sales,server
AST000364,host-00364.corp.example,rhel-9,finance,server
AST000365,host-00365.corp.example,macos-14,sales,laptop
AST000366,host-00366.corp.example,windows-11,exec,container_host
AST000367,host-00367.corp.example,windows-11,sales,server
AST000368,host-00368.corp.example,windows-11,engineering,laptop
AST000369,host-00369.corp.example,rhel-9,legal,laptop
AST000370,host-00370.corp.example,ubuntu-22,exec,laptop
AST000371,host-00371.corp.example,rhel-9,hr,server
AST000372,host-00372.corp.example,ubuntu-22,engineering,server
AST000373,host-00373.corp.example,macos-14,sales,vm
AST000374,host-00374.corp.example,macos-14,sales,vm
AST000375,host-00375.corp.example,ubuntu-22,exec,server
AST000376,host-00376.corp.example,rhel-9,finance,vm
AST000377,host-00377.corp.example,windows-11,legal,server
AST000378,host-00378.corp.example,rhel-9,legal,container_host
AST000379,host-00379.corp.example,windows-11,finance,container_host
AST000380,host-00380.corp.example,macos-14,exec,container_host
AST000381,host-00381.corp.example,rhel-9,sales,vm
AST000382,host-00382.corp.example,rhel-9,sales,container_host
AST000383,host-00383.corp.example,ubuntu-22,sales,vm
AST000384,host-00384.corp.example,ubuntu-22,hr,laptop
AST000385,host-00385.corp.example,rhel-9,hr,server
AST000386,host-00386.corp.example,rhel-9,sales,vm
AST000387,host-00387.corp.example,ubuntu-22,finance,laptop
AST000388,host-00388.corp.example,rhel-9,finance,laptop
AST000389,host-00389.corp.example,ubuntu-22,engineering,vm
AST000390,host-00390.corp.example,rhel-9,exec,laptop
AST000391,host-00391.corp.example,windows-11,sales,server
AST000392,host-00392.corp.example,rhel-9,sales,vm
AST000393,host-00393.corp.example,macos-14,engineering,server
AST000394,host-00394.corp.example,ubuntu-22,exec,laptop
AST000395,host-00395.corp.example,rhel-9,sales,server
AST000396,host-00396.corp.example,rhel-9,sales,vm
AST000397,host-00397.corp.example,macos-14,hr,container_host
AST000398,host-00398.corp.example,macos-14,finance,vm
AST000399,host-00399.corp.example,macos-14,legal,container_host
AST000400,host-00400.corp.example,rhel-9,engineering,container_host
AST000401,host-00401.corp.example,macos-14,sales,vm
AST000402,host-00402.corp.example,macos-14,hr,laptop
AST000403,host-00403.corp.example,ubuntu-22,exec,server
AST000404,host-00404.corp.example,windows-11,finance,container_host
AST000405,host-00405.corp.example,macos-14,sales,server
AST000406,host-00406.corp.example,macos-14,sales,container_host
AST000407,host-00407.corp.example,ubuntu-22,hr,vm
AST000408,host-00408.corp.example,macos-14,hr,container_host
AST000409,host-00409.corp.example,rhel-9,sales,vm
AST000410,host-00410.corp.example,ubuntu-22,sales,container_host
AST000411,host-00411.corp.example,ubuntu-22,legal,laptop
AST000412,host-00412.corp.example,windows-11,engineering,laptop
AST000413,host-00413.corp.example,windows-11,hr,server
AST000414,host-00414.corp.example,ubuntu-22,engineering,server
AST000415,host-00415.corp.example,windows-11,sales,container_host
AST000416,host-00416.corp.example,macos-14,engineering,container_host
AST000417,host-00417.corp.example,rhel-9,engineering,laptop
AST000418,host-00418.corp.example,rhel-9,engineering,laptop
AST000419,host-00419.corp.example,macos-14,legal,vm
AST000420,host-00420.corp.example,windows-11,legal,container_host
AST000421,host-00421.corp.example,ubuntu-22,engineering,laptop
AST000422,host-00422.corp.example,ubuntu-22,sales,server
AST000423,host-00423.corp.example,macos-14,finance,vm
AST000424,host-00424.corp.example,rhel-9,engineering,vm
AST000425,host-00425.corp.example,rhel-9,hr,server
AST000426,host-00426.corp.example,ubuntu-22,finance,laptop
AST000427,host-00427.corp.example,windows-11,engineering,container_host
AST000428,host-00428.corp.example,rhel-9,hr,container_host
AST000429,host-00429.corp.example,windows-11,exec,laptop
AST000430,host-00430.corp.example,ubuntu-22,engineering,container_host
AST000431,host-00431.corp.example,rhel-9,exec,vm
AST000432,host-00432.corp.example,windows-11,legal,laptop
AST000433,host-00433.corp.example,ubuntu-22,sales,container_host
AST000434,host-00434.corp.example,macos-14,engineering,laptop
AST000435,host-00435.corp.example,macos-14,legal,laptop
AST000436,host-00436.corp.example,ubuntu-22,finance,laptop
AST000437,host-00437.corp.example,ubuntu-22,legal,server
AST000438,host-00438.corp.example,rhel-9,engineering,vm
AST000439,host-00439.corp.example,ubuntu-22,legal,server
AST000440,host-00440.corp.example,rhel-9,exec,vm
AST000441,host-00441.corp.example,rhel-9,exec,server
AST000442,host-00442.corp.example,windows-11,legal,vm
AST000443,host-00443.corp.example,windows-11,engineering,container_host
AST000444,host-00444.corp.example,ubuntu-22,engineering,vm
AST000445,host-00445.corp.example,rhel-9,finance,laptop
AST000446,host-00446.corp.example,macos-14,hr,container_host
AST000447,host-00447.corp.example,ubuntu-22,finance,container_host
AST000448,host-00448.corp.example,rhel-9,sales,container_host
AST000449,host-00449.corp.example,windows-11,legal,vm
AST000450,host-00450.corp.example,ubuntu-22,exec,laptop
AST000451,host-00451.corp.example,windows-11,finance,server
AST000452,host-00452.corp.example,rhel-9,exec,server
AST000453,host-00453.corp.example,rhel-9,finance,vm
AST000454,host-00454.corp.example,windows-11,engineering,laptop
AST000455,host-00455.corp.example,macos-14,hr,vm
AST000456,host-00456.corp.example,macos-14,engineering,server
AST000457,host-00457.corp.example,windows-11,sales,container_host
AST000458,host-00458.corp.example,rhel-9,legal,container_host
AST000459,host-00459.corp.example,windows-11,engineering,laptop
AST000460,host-00460.corp.example,macos-14,legal,laptop
AST000461,host-00461.corp.example,macos-14,hr,laptop
AST000462,host-00462.corp.example,macos-14,hr,container_host
AST000463,host-00463.corp.example,windows-11,exec,server
AST000464,host-00464.corp.example,ubuntu-22,exec,container_host
AST000465,host-00465.corp.example,ubuntu-22,sales,vm
AST000466,host-00466.corp.example,macos-14,finance,container_host
AST000467,host-00467.corp.example,ubuntu-22,engineering,server
AST000468,host-00468.corp.example,rhel-9,finance,container_host
AST000469,host-00469.corp.example,macos-14,hr,laptop
AST000470,host-00470.corp.example,macos-14,finance,server
AST000471,host-00471.corp.example,rhel-9,legal,server
AST000472,host-00472.corp.example,rhel-9,engineering,server
AST000473,host-00473.corp.example,macos-14,engineering,container_host
AST000474,host-00474.corp.example,macos-14,legal,container_host
AST000475,host-00475.corp.example,macos-14,hr,vm
AST000476,host-00476.corp.example,rhel-9,exec,server
AST000477,host-00477.corp.example,macos-14,finance,server
AST000478,host-00478.corp.example,rhel-9,finance,server
AST000479,host-00479.corp.example,rhel-9,finance,vm
AST000480,host-00480.corp.example,rhel-9,legal,server
AST000481,host-00481.corp.example,macos-14,hr,vm
AST000482,host-00482.corp.example,rhel-9,finance,laptop
AST000483,host-00483.corp.example,ubuntu-22,legal,server
AST000484,host-00484.corp.example,windows-11,exec,container_host
AST000485,host-00485.corp.example,ubuntu-22,hr,vm
AST000486,host-00486.corp.example,windows-11,hr,container_host
AST000487,host-00487.corp.example,ubuntu-22,exec,vm
AST000488,host-00488.corp.example,ubuntu-22,finance,server
AST000489,host-00489.corp.example,rhel-9,hr,laptop
AST000490,host-00490.corp.example,rhel-9,legal,container_host
AST000491,host-00491.corp.example,rhel-9,legal,container_host
AST000492,host-00492.corp.example,windows-11,finance,laptop
AST000493,host-00493.corp.example,windows-11,sales,vm
AST000494,host-00494.corp.example,ubuntu-22,exec,laptop
AST000495,host-00495.corp.example,rhel-9,finance,container_host
AST000496,host-00496.corp.example,windows-11,engineering,laptop
AST000497,host-00497.corp.example,macos-14,sales,server
AST000498,host-00498.corp.example,rhel-9,finance,container_host
AST000499,host-00499.corp.example,rhel-9,exec,server
AST000500,host-00500.corp.example,macos-14,engineering,container_host
AST000501,host-00501.corp.example,windows-11,finance,container_host
AST000502,host-00502.corp.example,windows-11,engineering,server
AST000503,host-00503.corp.example,macos-14,finance,vm
AST000504,host-00504.corp.example,rhel-9,sales,container_host
AST000505,host-00505.corp.example,macos-14,hr,laptop
AST000506,host-00506.corp.example,rhel-9,exec,container_host
AST000507,host-00507.corp.example,macos-14,engineering,vm
AST000508,host-00508.corp.example,windows-11,exec,laptop
AST000509,host-00509.corp.example,windows-11,finance,laptop
